time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-01T00:01:05.970Z,19.4681667,-155.6103333,-1.57,2.48,ml,40,88,0.01776,0.14,hv,hv71361677,2020-04-18T22:10:07.040Z,"Island of Hawaii, Hawaii",earthquake,0.25,0.15,0.131,5,reviewed,hv,hv
2020-02-01T00:03:51.347Z,38.3727,39.2739,10,4.2,mb,,73,1.027,0.97,us,us60007luu,2020-04-18T22:10:07.040Z,"8 km SSW of Sivrice, Turkey",earthquake,4.5,2,0.214,6,reviewed,us,us
2020-02-01T00:09:33.309Z,40.5848,-119.5791,0,1.1,ml,5,310.38,0.431,0.2713,nn,nn00716352,2020-02-01T07:59:21.229Z,"20 km W of Empire, Nevada",earthquake,,0,0.14,2,reviewed,nn,nn
2020-02-01T00:11:28.423Z,62.7221,-149.4404,64,1.2,ml,,,,0.42,ak,ak0201gx9ive,2020-02-18T00:30:52.873Z,"45 km NE of Chase, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2020-02-01T00:11:34.290Z,35.669,-117.4646667,10.81,1.66,ml,28,66,0.08234,0.17,ci,ci39288376,2020-02-03T15:56:12.800Z,"12km SSW of Searles Valley, CA",earthquake,0.3,0.57,0.208,26,reviewed,ci,ci
2020-02-01T00:12:31.470Z,19.2038326,-155.4151611,32.72,1.79,md,28,165,0.0655,0.11,hv,hv71361697,2020-02-01T00:15:39.650Z,"6 km E of P?hala, Hawaii",earthquake,0.74,0.88,0.21,4,automatic,hv,hv
2020-02-01T00:15:40.540Z,19.2071667,-155.4154968,32.68,1.8,md,41,162,0.03464,0.12,hv,hv71361702,2020-02-01T00:18:46.680Z,"6 km E of P?hala, Hawaii",earthquake,0.65,0.74,0.17,7,automatic,hv,hv
2020-02-01T00:20:59.302Z,61.5898,-148.0326,4.1,1.2,ml,,,,0.53,ak,ak0201gxbipf,2020-02-18T00:29:46.582Z,"31 km SW of Glacier View, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-02-01T00:21:27.250Z,19.2228336,-155.4185028,33.18,2.09,md,47,135,0.02463,0.14,hv,hv71361707,2020-02-01T00:25:34.730Z,"6 km ENE of P?hala, Hawaii",earthquake,0.61,0.73,0.28,13,automatic,hv,hv
2020-02-01T00:21:35.908Z,51.8539,-177.9395,3.9,1.6,ml,,,,0.56,ak,ak0201gxbodv,2020-02-18T00:29:47.436Z,"89 km W of Adak, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2020-02-01T00:32:22.212Z,37.9734,-115.2378,0,1.3,ml,7,128.26,0.465,0.1928,nn,nn00716333,2020-02-01T00:59:27.570Z,"Nevada",earthquake,,0,0.25,4,reviewed,nn,nn
2020-02-01T00:38:52.708Z,0.0863,-90.9448,10,4.3,mb,,167,1.002,1.16,us,us70007mjz,2020-04-18T22:10:30.040Z,"115 km N of Puerto Villamil, Ecuador",earthquake,10.5,1.9,0.097,30,reviewed,us,us
2020-02-01T00:40:53.210Z,36.0958333,-117.8665,3.43,1.72,ml,22,68,0.02366,0.14,ci,ci39288424,2020-02-03T15:56:08.210Z,"9km NE of Coso Junction, CA",earthquake,0.22,0.44,0.331,25,reviewed,ci,ci
2020-02-01T00:41:02.423Z,60.854,-146.2469,15.5,1.6,ml,,,,0.63,ak,ak0201gxfsjk,2020-02-18T00:29:48.151Z,"23 km E of Tatitlek, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2020-02-01T00:43:29.710Z,19.1898327,-155.4389954,36.42,1.74,md,37,224,0.06153,0.11,hv,hv71361732,2020-02-01T00:46:49.900Z,"4 km ESE of P?hala, Hawaii",earthquake,0.73,0.86,0.2,6,automatic,hv,hv
2020-02-01T00:43:45.840Z,35.0961667,-116.9705,4.06,1.2,ml,20,65,0.2214,0.18,ci,ci39288432,2020-02-01T02:18:20.881Z,"22km NNE of Barstow, CA",earthquake,0.22,1.07,0.123,17,reviewed,ci,ci
2020-02-01T00:49:03.420Z,19.2150002,-155.4214935,31.76,2.09,md,42,143,0.03186,0.12,hv,hv71361737,2020-02-01T00:53:02.810Z,"6 km ENE of P?hala, Hawaii",earthquake,0.61,0.9,0.16,9,automatic,hv,hv
2020-02-01T01:01:39.750Z,63.5852,-165.8729,20.3,1.9,ml,,,,0.76,ak,ak0201gxsu1n,2020-02-18T18:18:34.076Z,"104 km SSW of Nome, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2020-02-01T01:02:27.760Z,63.2945,-151.7536,0.4,1.4,ml,,,,0.77,ak,ak0201gxt0yi,2020-02-18T00:29:49.044Z,"27 km S of Denali National Park, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-02-01T01:10:04.150Z,51.8685,-177.857,4.85,1.14,ml,4,222,0.06018,0.06,av,av62131466,2020-02-03T19:50:18.110Z,"84 km W of Adak, Alaska",earthquake,0.66,1.21,0.222,4,reviewed,av,av
2020-02-01T01:14:39.319Z,51.8678,-177.7863,4.8,1.4,ml,,,,0.69,ak,ak0201gxvmii,2020-02-18T00:29:49.939Z,"79 km W of Adak, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-02-01T01:15:25.190Z,17.9466,-66.8503,12,2.92,md,12,208,0.0406,0.11,pr,pr2020032000,2020-04-18T22:10:07.040Z,"5 km SE of Maria Antonia, Puerto Rico",earthquake,0.76,0.36,0.35,7,reviewed,pr,pr
2020-02-01T01:20:26.761Z,50.873,-176.7725,10,2.5,ml,,249,0.935,0.32,us,us70007s51,2020-04-18T22:10:37.040Z,"111 km S of Adak, Alaska",earthquake,2.5,2,,,reviewed,us,ak
2020-02-01T01:20:52.210Z,19.2028332,-155.4651642,36.5,2.03,ml,55,101,0.04726,0.14,hv,hv71361777,2020-02-01T01:26:28.090Z,"1 km E of P?hala, Hawaii",earthquake,0.57,0.84,5.19,3,automatic,hv,hv
2020-02-01T01:29:42.930Z,51.8518333,-177.6976667,3.31,1.73,ml,12,152,0.08178,0.12,av,av62131481,2021-05-13T22:02:07.991Z,"73 km W of Adak, Alaska",earthquake,0.43,0.42,0.257,13,reviewed,av,av
