time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-05-01T00:02:06.709Z,63.9239,-148.9426,0,1.5,ml,,,,0.43,ak,ak0205lrks6y,2020-05-05T20:50:23.862Z,"7 km N of Healy, Alaska",explosion,,0,,,reviewed,ak,ak
2020-05-01T00:04:38.260Z,19.3306675,-155.1708374,4.12,1.7,ml,40,88,0.04855,0.17,hv,hv71494742,2020-05-01T00:10:11.040Z,"14 km SSE of Volcano, Hawaii",earthquake,0.39,2.11,0.14,6,automatic,hv,hv
2020-05-01T00:06:23.770Z,47.7078333333333,-120.335333333333,3.14,2.87,ml,17,85,0.1034,0.06,uw,uw61618306,2020-07-18T21:57:07.040Z,"10 km WNW of Entiat, Washington",earthquake,0.17,1.23,0.186725791346349,3,reviewed,uw,uw
2020-05-01T00:09:08.410Z,32.9916667,-115.7673333,9.55,2.26,ml,63,42,0.05392,0.25,ci,ci38475066,2020-05-01T14:52:26.160Z,"14km WSW of Westmorland, CA",earthquake,0.18,0.51,0.156,73,reviewed,ci,ci
2020-05-01T00:17:20.431Z,60.6026,-151.2038,64,1,ml,,,,0.52,ak,ak0205lro0zv,2020-05-05T20:51:42.393Z,"6 km NNE of Kenai, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2020-05-01T00:25:03.306Z,62.9304,-151.3669,110.2,1.6,ml,,,,0.51,ak,ak0205lrpphj,2020-05-05T20:50:25.535Z,"57 km NNW of Petersville, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-05-01T00:25:30.680Z,19.3368333,-155.1646667,5.17,1.57,md,40,89,0.04262,0.1,hv,hv71494762,2020-05-01T00:50:55.660Z,"13 km SSE of Volcano, Hawaii",earthquake,0.31,0.84,0.098,17,reviewed,hv,hv
2020-05-01T00:28:56.940Z,40.7295,-112.06,8.79,1.32,ml,31,38,0.01851,0.14,uu,uu60383007,2020-05-01T13:59:22.580Z,"4 km ENE of Magna, Utah",earthquake,0.25,0.48,0.328,2,reviewed,uu,uu
2020-05-01T00:37:20.130Z,17.9546,-66.6148,5,3.02,md,22,185,0.0886,0.19,pr,pr2020122000,2020-05-01T01:53:56.239Z,"6 km S of Ponce, Puerto Rico",earthquake,0.47,0.26,0.17,19,reviewed,pr,pr
2020-05-01T00:42:40.877Z,51.6755,-174.0103,8.1,1.6,ml,,,,0.23,ak,ak0205lrtfh3,2020-05-05T20:51:43.251Z,"59 km SSE of Atka, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2020-05-01T00:44:47.820Z,47.7103333333333,-120.334833333333,2.05,1.12,ml,9,85,0.1059,0.05,uw,uw61618326,2020-05-04T23:02:48.520Z,"10 km WNW of Entiat, Washington",earthquake,0.23,2.4,0.119364385770568,4,reviewed,uw,uw
2020-05-01T00:47:58.472Z,51.6841,-176.5661,63.91,3,ml,,206,0.202,0.25,us,us70009amz,2020-07-18T21:57:39.040Z,"21 km SSE of Adak, Alaska",earthquake,8.8,10.6,0.128,8,reviewed,us,us
2020-05-01T00:49:50.900Z,33.8913333,-116.858,14.94,1.14,ml,40,50,0.07657,0.2,ci,ci38475098,2020-05-01T13:16:33.140Z,"4km SSE of Banning, CA",earthquake,0.27,0.64,0.215,27,reviewed,ci,ci
2020-05-01T00:50:35.010Z,51.7816,-176.571,62.3,1.8,ml,,,,0.28,ak,ak0205lrv4r1,2020-05-05T20:51:44.011Z,"11 km SSE of Adak, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2020-05-01T00:50:45.693Z,51.8204,-176.5956,65.7,1.8,ml,,,,0.38,ak,ak0205lrv5kp,2020-05-05T20:51:44.850Z,"6 km SSE of Adak, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2020-05-01T00:59:18.090Z,17.9706,-66.9218,13,2.4,md,9,194,0.1224,0.33,pr,pr2020122001,2020-05-01T01:18:46.407Z,"1 km W of Guánica, Puerto Rico",earthquake,1.4,1.17,0.3,7,reviewed,pr,pr
