time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-01T00:03:17.098Z,-34.724,-70.7925,101.76,4,mb,,88,0.068,0.53,us,us70006ewl,2020-02-19T18:58:26.040Z,"23 km E of Chimbarongo, Chile",earthquake,5.1,4.4,0.258,4,reviewed,us,us
2019-12-01T00:15:37.811Z,40.5978,-116.3998,14.3,2.2,ml,7,280.46,0.34,0.0991,nn,nn00712267,2019-12-03T21:41:17.564Z,"25 km NE of Crescent Valley, Nevada",earthquake,,9.2,0.17,5,reviewed,nn,nn
2019-12-01T00:30:19.800Z,36.29516667,-98.18833333,5.76,1.91,ml,56,78,0.04049205408,0.17,ok,ok2019xmha,2019-12-02T16:00:49.560Z,"5 km N of Ames, Oklahoma",earthquake,,0.4,0.2,19,reviewed,ok,ok
2019-12-01T00:47:14.390Z,35.5975,-117.3858333,2.88,1.73,ml,24,69,0.0632,0.23,ci,ci39212464,2019-12-01T00:50:56.196Z,"18km S of Trona, CA",earthquake,0.36,0.41,0.184,26,automatic,ci,ci
2019-12-01T00:54:58.490Z,35.9,-117.6825,2.01,1.01,ml,15,72,0.05445,0.17,ci,ci39212496,2019-12-01T00:58:28.235Z,"21km ESE of Little Lake, CA",earthquake,0.24,0.41,0.176,13,automatic,ci,ci
2019-12-01T00:58:50.048Z,64.9809,-147.3456,0,1.5,ml,,,,0.58,ak,ak019fe1dspa,2019-12-07T03:13:49.345Z,"13 km E of Fox, Alaska",explosion,,0,,,reviewed,ak,ak
2019-12-01T01:08:56.752Z,63.4521,-150.0802,139,1.5,ml,,,,0.47,ak,ak019fe1on4j,2019-12-07T03:13:50.235Z,"56 km W of Cantwell, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2019-12-01T01:12:26.951Z,63.5504,-147.3539,7.2,1,ml,,,,0.79,ak,ak019fe1pbn4,2019-12-12T17:56:38.473Z,"79 km ESE of McKinley Park, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-12-01T01:34:15.596Z,-15.8821,-72.1949,114.69,4.2,mb,,141,3.043,1.01,us,us70006ewr,2020-02-19T18:58:26.040Z,"19 km SSW of Huambo, Peru",earthquake,4.7,10.9,0.186,8,reviewed,us,us
2019-12-01T01:34:26.471Z,60.9813,-147.9827,21.7,1.2,ml,,,,0.59,ak,ak019fe1u0wr,2019-12-07T03:13:51.893Z,"44 km ENE of Whittier, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2019-12-01T01:37:19.170Z,62.9449,-148.9801,14.2,1.1,ml,,,,0.59,ak,ak019fe1unz9,2019-12-07T03:13:52.738Z,"49 km S of Cantwell, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-12-01T01:40:34.352Z,-17.7589,-178.7516,608.54,4,mb,,122,3.045,0.43,us,us60006pg5,2020-02-19T18:57:59.040Z,"207 km E of Levuka, Fiji",earthquake,13.9,8.1,0.144,13,reviewed,us,us
2019-12-01T01:45:13.711Z,63.2707,-144.8892,0,1.3,ml,,,,0.53,ak,ak019fe1wdbl,2019-12-07T03:13:53.483Z,"41 km ENE of Paxson, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-12-01T01:58:11.681Z,60.2555,-141.4024,8.1,1.6,ml,,,,0.52,ak,ak019fe1z5fr,2019-12-07T03:13:54.390Z,"122 km NW of Yakutat, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-12-01T02:05:40.864Z,39.7076,82.7995,10,4.3,mb,,86,3.114,1.35,us,us70006ewu,2020-02-19T18:58:26.040Z,"160 km SE of Aral, China",earthquake,4.2,1.9,0.113,22,reviewed,us,us
2019-12-01T02:07:59.180Z,38.8031667,-122.8026667,3.38,1.76,md,28,67,0.007489,0.06,nc,nc73310491,2019-12-12T08:27:04.683Z,"5km NW of The Geysers, CA",earthquake,0.21,0.31,0.342,13,reviewed,nc,nc
2019-12-01T02:08:53.290Z,33.2073333,-115.5641667,0.05,1.39,ml,11,98,0.05244,0.22,ci,ci39212568,2019-12-03T00:06:16.997Z,"6km SW of Niland, CA",earthquake,0.32,1.04,0.221,12,reviewed,ci,ci
2019-12-01T02:08:54.980Z,35.8961667,-117.6876667,1.78,1.13,ml,16,73,0.05984,0.14,ci,ci39212560,2019-12-01T02:12:40.491Z,"20km ESE of Little Lake, CA",earthquake,0.22,0.45,0.17,18,automatic,ci,ci
2019-12-01T02:10:40.300Z,37.8344,-115.1623,0,1.4,ml,13,88.16,0.437,0.2743,nn,nn00712054,2019-12-02T21:04:38.203Z,"26 km NNE of Hiko, Nevada",earthquake,,0,0.09,7,reviewed,nn,nn
2019-12-01T02:11:06.477Z,39.111,-119.7343,8.7,2.8,ml,31,56.34,0.03,0.1893,nn,nn00712041,2020-03-22T03:16:25.092Z,"5 km ENE of Indian Hills, Nevada",earthquake,,0.7,0.16,8,reviewed,nn,nn
2019-12-01T02:13:07.525Z,-5.0005,144.6509,81.81,4.2,mb,,127,4.648,1.04,us,us60006pg7,2020-02-19T18:57:59.040Z,"105 km NNE of Mount Hagen, Papua New Guinea",earthquake,8.3,9.2,0.237,5,reviewed,us,us
2019-12-01T02:13:45.509Z,35.12866667,-95.35383333,6.85,2.45,ml,32,198,0.1196765154,0.24,ok,ok2019xmkl,2020-02-19T18:58:26.040Z,"1 km ENE of Quinton, Oklahoma",earthquake,,1,0.21,9,reviewed,ok,ok
2019-12-01T02:13:52.054Z,59.5672,-150.9516,55.3,2.7,ml,,,,0.54,ak,ak019fe2b0zi,2020-02-19T18:58:26.040Z,"15 km ESE of Halibut Cove, Alaska",earthquake,,0.2,,,reviewed,ak,ak
