time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-01T00:01:56.590Z,19.2175,-67.1275,12,2.75,md,3,358,0.7502,0.45,pr,pr2020001021,2020-01-02T18:15:04.335Z,"80 km N of Isabela, Puerto Rico",earthquake,32.93,31.47,0.36,2,reviewed,pr,pr
2020-01-01T00:03:38.210Z,19.0766,-67.0901,6,2.55,md,2,357,0.6095,0.16,pr,pr2020001022,2020-01-02T18:59:21.484Z,"64 km N of Isabela, Puerto Rico",earthquake,13.28,3.3,0.41,2,reviewed,pr,pr
2020-01-01T00:05:09.440Z,17.8705,-66.8541,6,1.81,md,4,311,0.1076,0.06,pr,pr2020001023,2020-01-02T19:58:20.120Z,"12 km SSE of Maria Antonia, Puerto Rico",earthquake,0.88,0.47,0.19,3,reviewed,pr,pr
2020-01-01T00:05:36.930Z,17.8993,-66.8636,8,1.84,md,5,304,0.0774,0.03,pr,pr2020001024,2020-01-02T19:59:52.304Z,"9 km SSE of Maria Antonia, Puerto Rico",earthquake,1.09,1.38,0.37,3,reviewed,pr,pr
2020-01-01T00:09:20.060Z,17.9066,-66.8685,8,1.64,md,3,299,0.0693,0.05,pr,pr2020001025,2020-01-02T21:32:22.330Z,"8 km SSE of Maria Antonia, Puerto Rico",earthquake,4.7,6.75,0.3,2,reviewed,pr,pr
2020-01-01T00:10:43.850Z,19.1933,-67.8365,28,3.08,md,8,324,0.8843,0.41,pr,pr2020001033,2020-01-03T01:32:04.194Z,"90 km NE of Punta Cana, Dominican Republic",earthquake,3.45,30.83,0.2,6,reviewed,pr,pr
2020-01-01T00:11:06.520Z,33.0233333,-116.414,9.84,1.22,ml,44,71,0.05149,0.21,ci,ci39019183,2020-01-01T18:41:52.030Z,"19km ESE of Julian, CA",earthquake,0.27,0.77,0.159,27,reviewed,ci,ci
2020-01-01T00:12:32.240Z,17.8876,-66.8311,3,2.02,md,5,283,0.0998,0.07,pr,pr2020001036,2020-01-03T01:32:22.130Z,"11 km SSE of Maria Antonia, Puerto Rico",earthquake,1.01,0.45,0.32,4,reviewed,pr,pr
2020-01-01T00:15:30.390Z,17.9508,-66.8518,4,2.03,md,4,263,0.1933,0.19,pr,pr2020001037,2020-01-03T01:32:37.338Z,"5 km SE of Maria Antonia, Puerto Rico",earthquake,1.24,3.22,0.4,2,reviewed,pr,pr
2020-01-01T00:18:15.070Z,17.9351,-66.8971,4,1.99,md,5,261,0.0438,0.28,pr,pr2020001026,2020-01-03T00:27:16.598Z,"4 km SSE of Guánica, Puerto Rico",earthquake,1.53,1.02,0.27,5,reviewed,pr,pr
